user.ageFilterMax,user.ageFilterMin,user.genderFilter,user.interestedIn
45,20,F,F
26,18,F,F
33,24,M,M
26,18,F,F
30,21,F,F
20,18,F,F
29,19,F,F
36,18,F,F
46,24,F,F
26,18,F,F
36,26,F,F
24,18,F,F
33,21,F,F
29,21,M,M
25,18,M,M
40,18,F,F
38,18,F,F
23,18,F,F
27,21,F,F
29,25,M,M
28,20,M,M
22,18,M,M
27,20,M,M
38,24,F,F
26,20,F,F
25,18,F,F
29,18,F,F
25,18,F,F
45,20,F,F
30,18,M and F,M and F
26,18,F,F
27,18,F,F
22,18,F,F
40,22,F,F
45,18,F,F
25,19,F,F
30,19,F,F
38,18,F,F
30,18,M and F,M and F
22,18,F,F
22,18,F,F
24,18,M and F,M and F
50,18,F,F
50,25,F,F
23,18,M,M
32,26,F,F
30,18,F,F
26,22,M and F,M and F
34,18,F,F
38,18,M and F,M and F
27,19,F,F
35,26,M and F,M and F
30,23,F,F
31,23,M,M
33,24,M,M
35,20,F,F
21,18,F,F
33,26,F,F
23,19,F,F
21,18,F,F
31,18,F,F
22,18,F,F
35,25,M,M
32,24,F,F
30,19,F,F
29,18,F,F
30,23,M and F,M and F
67,18,F,F
24,18,F,F
27,23,F,F
24,18,F,F
97,20,F,F
23,18,F,F
21,18,F,F
33,18,F,F
27,18,F,F
38,22,M,M
50,20,F,F
22,18,F,F
40,18,M and F,M and F
29,21,F,F
25,18,F,F
28,22,F,F
60,21,F,F
29,19,F,F
30,21,F,F
55,18,F,F
29,20,F,F
22,18,F,F
26,18,F,F
21,18,F,F
29,23,F,F
22,18,F,F
45,21,F,F
38,28,M,M
37,21,F,F
30,18,F,F
29,18,F,F
50,26,F,F
33,23,M,M
24,18,F,F
28,20,M and F,M and F
30,22,F,F
35,18,F,F
31,25,F,F
34,27,M and F,M and F
36,26,F,F
42,32,F,F
26,18,F,F
37,23,F,F
36,28,F,F
32,24,F,F
50,18,F,F
34,25,F,F
40,18,F,F
25,20,F,F
32,24,F,F
24,23,F,F
28,18,F,F
34,20,F,F
23,18,F,F
35,22,F,F
41,29,F,F
24,18,F,F
80,18,F,F
30,25,F,F
30,18,F,F
32,23,F,F
35,24,M,M
28,18,F,F
40,18,F,F
47,27,F,F
23,18,F,F
28,21,F,F
25,18,F,F
31,22,F,F
24,18,F,F
36,21,F,F
26,18,F,F
45,18,F,F
35,18,F,F
25,20,F,F
40,22,M,M
22,18,F,F
36,22,F,F
34,18,F,F
33,27,F,F
29,22,F,F
40,18,F,F
35,22,F,F
35,23,M,M
28,22,M,M
26,19,F,F
28,22,F,F
45,32,M,M
22,18,F,F
28,20,F,F
30,22,F,F
31,21,F,F
32,18,F,F
33,18,F,F
38,18,F,F
30,18,F,F
30,20,F,F
30,25,F,F
32,18,F,F
19,18,F,F
37,28,F,F
42,18,F,F
41,21,F,F
35,27,F,F
36,27,M,M
36,25,F,F
29,18,F,F
30,19,F,F
26,18,F,F
30,21,F,F
35,25,F,F
28,18,F,F
27,18,F,F
35,23,F,F
40,18,F,F
30,20,F,F
44,18,F,F
23,18,F,F
22,18,M,M
32,24,F,F
53,40,F,F
23,20,M,M
43,35,M,M
31,19,F,F
22,18,F,F
45,18,F,F
35,25,F,F
50,18,F,F
49,25,F,F
28,23,M and F,M and F
29,25,F,F
30,25,F,F
34,21,F,F
39,24,F,F
30,20,F,F
27,20,F,F
25,20,F,F
43,18,F,F
30,18,F,F
31,18,F,F
50,24,F,F
36,21,F,F
25,18,F,F
49,22,F,F
46,21,F,F
48,18,F,F
28,18,F,F
30,18,F,F
51,24,M,M
33,21,F,F
26,19,F,F
25,18,F,F
40,18,M and F,M and F
33,25,F,F
26,21,M,M
25,18,F,F
27,18,F,F
28,21,F,F
27,19,F,F
34,25,F,F
36,18,F,F
40,18,F,F
50,18,F,F
23,18,F,F
29,22,F,F
30,21,M and F,M and F
30,21,F,F
24,19,F,F
32,21,F,F
28,22,F,F
35,23,F,F
31,24,F,F
37,18,F,F
25,21,F,F
26,18,F,F
36,26,F,F
22,18,M,M
37,18,F,F
23,20,F,F
27,22,M,M
37,21,F,F
27,20,F,F
46,18,F,F
23,18,F,F
32,25,F,F
26,18,F,F
24,20,F,F
40,18,F,F
39,23,F,F
36,18,F,F
26,18,F,F
35,18,F,F
29,18,M,M
25,18,F,F
28,20,F,F
35,18,F,F
44,18,M,M
48,18,M and F,M and F
29,23,M,M
45,19,F,F
24,20,M,M
23,18,F,F
22,18,M,M
44,35,F,F
32,18,F,F
30,19,F,F
33,23,F,F
32,21,F,F
24,20,F,F
55,27,F,F
40,25,F,F
26,20,F,F
30,18,F,F
35,19,M,M
25,18,F,F
25,20,F,F
25,18,F,F
36,27,M,M
40,18,F,F
27,20,F,F
23,18,F,F
23,19,M and F,M and F
35,18,F,F
